#{"t_start": 1780190712.460629, "env_id": "None"}
r,l,t
-30.096085,168,0.10201
-11.794327,400,0.290722
-12.809725,400,0.439586
-28.480376,152,1.284395
-26.015214,67,1.764136
-24.926897,27,1.970862
-24.772006,74,2.476591
-31.676001,215,4.020903
-26.280379,54,4.416098
80.127153,400,7.356011
72.966489,400,10.474977
-22.721887,400,13.578961
-26.558436,62,14.084322
-8.326023,400,17.227095
-6.737551,400,20.315786
-9.702255,400,23.476591
67.213517,325,26.165753
-25.161247,84,26.855654
85.113601,400,29.969671
-11.663778,400,33.102718
-33.603542,193,34.715588
77.805387,400,38.004597
53.411016,360,40.755399
64.936412,271,42.903575
-26.090958,145,44.095612
-25.860231,147,45.236337
-25.712555,154,46.398338
-25.616988,143,47.516598
-25.228145,130,48.559356
-25.632459,118,49.563636
-25.078157,122,50.588317
67.612768,269,52.680702
-25.017803,104,53.497225
60.03363,350,56.211599
82.286491,400,59.470957
79.179262,400,62.627383
-7.055594,400,65.794702
-17.067405,400,68.954946
-7.948353,400,72.104797
-7.140208,400,75.230342
-14.118235,400,78.204753
-12.874231,400,81.07658
-13.932125,400,83.974484
-11.434588,400,86.787995
-9.861243,400,89.480021
-9.597987,400,92.148567
-9.841986,400,94.716562
-9.194978,400,97.162205
-8.070164,400,99.630006
-8.086943,400,102.195089
-7.998141,400,104.854241
-7.857599,400,107.338977
-7.967605,400,109.754186
-7.241146,400,112.200133
-7.636107,400,114.779506
-8.25603,400,117.293621
-8.477735,400,119.793734
-11.956298,400,122.303944
-29.858156,240,123.879445
-9.026912,400,126.423021
-10.160829,400,129.164193
-12.433308,400,131.715439
-10.178104,400,134.33192
-12.030246,400,136.987571
-11.666169,400,139.687427
-9.15561,400,142.449621
-11.066343,400,145.211931
-10.663763,400,148.165714
-9.006966,400,151.132991
-8.335352,400,154.133385
-8.678029,400,157.157723
-9.567863,400,160.06158
74.556003,168,161.305619
74.737634,153,162.457592
73.781858,179,163.761667
86.625936,400,166.731191
85.161547,400,169.694955
87.12307,400,172.658509
85.72014,400,175.652104
84.847502,400,178.593776
86.208583,400,181.512651
86.10629,400,184.596981
-25.828619,128,185.532948
-25.117798,106,186.327118
85.10128,400,189.253181
82.996555,400,192.202811
80.662199,400,195.111017
80.037241,400,198.06103
85.427563,400,200.991707
83.464568,400,203.948559
82.010264,400,206.958867
82.353276,400,209.899464
80.525184,400,212.860714
81.04085,400,215.857799
81.198785,400,218.76065
91.426045,400,221.710607
90.164465,400,224.651299
87.783706,400,227.598197
74.679157,188,228.985968
68.129145,338,231.425541
86.028808,400,234.335718
74.959833,149,235.399058
76.148025,122,236.260316
74.057313,202,237.63576
76.477226,115,238.409259
77.41204,400,241.051903
78.310269,400,243.736715
72.434729,172,244.860115
81.758813,400,247.527924
78.461156,400,250.06613
88.109672,400,252.555067
94.291196,400,255.044535
82.791395,400,257.589322
89.212972,400,260.109912
78.580939,400,262.600512
92.76836,400,265.085269
73.235649,175,266.193193
71.591751,305,268.109761
75.498719,158,269.098345
73.032581,180,270.205695
88.460505,400,272.669538
86.09559,400,275.303706
89.316501,400,277.813597
73.715052,173,278.9096
73.07572,181,280.084631
73.235273,176,281.208485
72.244159,205,282.589069
72.059175,214,284.034974
-26.578718,100,284.713533
71.519722,217,286.187933
-31.427472,312,288.351087
-25.572353,79,288.85939
60.319873,399,291.63857
85.443368,400,294.54034
-15.426923,400,297.511263
-23.12008,400,300.53148
-15.324712,400,303.60913
-15.430291,400,306.673184
-13.065459,400,309.65402
-16.685263,400,312.64364
-31.69041,336,315.170824
73.41751,252,317.073803
-12.34286,400,320.158876
90.499341,400,323.247504
86.682348,400,326.495466
86.197402,400,329.578499
84.043972,400,332.634138
86.060087,400,335.707672
-19.302502,400,338.680439
81.3105,400,341.700602
81.20587,400,344.766468
80.559136,400,347.75725
80.828538,400,350.854035
81.547733,400,354.087583
81.622186,400,357.10627
80.989598,400,360.23361
82.075775,400,363.311975
83.715691,400,366.339788
82.582091,400,369.425029
83.362038,400,372.451071
82.271136,400,375.520644
82.816526,400,378.574939
84.250578,400,381.601716
86.711976,400,384.531529
61.265817,383,387.225587
87.291805,400,390.007594
89.5039,400,392.78304
85.521633,400,395.505497
85.390242,400,398.137437
83.59818,400,400.779549
84.839055,400,403.4074
85.431706,400,405.982758
83.854412,400,408.611966
87.994301,400,411.157176
-15.958824,400,413.656141
81.277298,400,416.232258
82.244692,400,418.913898
81.211317,400,421.601099
80.525579,400,424.343738
79.30075,400,427.136096
79.24657,400,430.027796
80.799258,400,432.914934
80.668371,400,435.81672
82.146244,400,438.856802
85.556659,400,441.956812
90.190208,400,445.106619
-16.651329,400,448.256574
-20.109075,400,451.406598
-14.715324,400,454.653523
87.164188,400,457.841162
86.064524,400,460.956438
85.366861,400,463.945973
-25.65655,98,464.73637
-25.714596,98,465.481777
-25.298928,92,466.256286
80.37174,400,469.381836
86.125707,400,472.556218
-26.531295,137,473.655314
-28.381856,160,474.85631
-29.008095,174,476.156198
84.140976,400,479.260161
85.924679,400,482.371121
88.633953,400,485.563975
85.033921,400,488.604997
86.316098,400,491.72177
90.332515,400,494.83143
87.964021,400,497.905775
87.570718,400,500.991393
86.171473,400,504.069663
83.366558,400,507.127455
85.127006,400,510.209562
83.518058,400,513.3721
87.357755,400,516.380905
-15.127705,400,519.405427
-13.282704,400,522.476139
-13.163389,400,525.583087
-12.454491,400,528.805204
-13.523344,400,531.857204
-13.064929,400,535.013166
-16.516928,400,538.094717
-14.394492,400,541.28838
-16.336383,400,544.50788
-15.723471,400,547.60391
-16.407131,400,550.651766
83.701421,400,553.766868
84.332061,400,556.904701
86.064275,400,559.896712
83.787622,400,562.971742
85.094219,400,566.06365
85.675621,400,569.193095
80.310316,400,572.354471
81.991668,400,575.501378
86.4186,400,578.554387
73.853515,176,579.89105
67.319022,275,581.996239
82.928527,400,585.050269
83.200564,400,588.104237
57.531355,390,591.144791
81.337837,400,594.236707
-24.052783,105,595.062426
86.174593,400,598.150948
58.130549,356,600.879494
79.937725,400,604.035254
80.504341,400,607.112124
82.122254,400,610.165232
85.510326,400,613.264148
85.508922,400,616.470063
86.556483,400,619.56196
87.297258,400,622.656951
85.423973,400,625.832834
88.558804,400,629.008796
85.264559,400,632.092455
86.567275,400,635.194996
88.486136,400,638.402366
85.67225,400,641.411561
88.46633,400,644.498278
87.385851,400,647.486527
87.799438,400,650.642424
88.516548,400,653.80332
87.449336,400,656.976393
87.968576,400,660.032028
88.438419,400,663.136797
89.288117,400,666.245881
88.305194,400,669.310113
85.705573,400,672.367682
86.246466,400,675.403968
88.244432,400,678.559923
89.49436,400,681.712656
90.128154,400,684.84552
86.036081,400,687.925582
85.605848,400,691.026489
87.974417,400,694.13618
87.686399,400,697.262655
85.007,400,700.349223
-25.270033,95,701.10655
59.262566,400,704.210499
67.061904,256,706.177537
82.309729,400,709.260417
86.897225,400,712.426083
90.233863,400,715.510293
90.442417,400,718.535735
68.091881,266,720.626051
72.709467,197,722.160171
89.059098,400,725.255177
87.05567,400,728.335521
88.991057,400,731.374901
